product_name,product_href,product_new_price,product_old_price,product_discount
Кровать Майтон 140 Velvet Navy Blue,https://divan.ru/product/krovat-majton-140-velvet-navy-blue,23 990,42 990,44
Матрас Кайм 200x200,https://divan.ru/product/matras-kajm-200x200,43 990,78 490,43
Кровать Весмар 140 Velvet Blue,https://divan.ru/product/krovat-vesmar-140-velvet-blue,26 990,44 990,40
Кровать Весмар 140 Velvet Mustard,https://divan.ru/product/krovat-vesmar-140-velvet-mustard,26 990,44 990,40
Матрас Риас 120x200,https://divan.ru/product/matras-rias-120x200,21 990,38 490,42
Матрас Эслаун 80x200,https://divan.ru/product/matras-eslaun-80x200,18 990,38 490,50
Кровать Лосон 140 Velvet Emerald,https://divan.ru/product/krovat-loson-140-velvet-emerald,23 990,42 990,44
Кровать Плиди 140 Velvet Grey,https://divan.ru/product/krovat-plidi-140-velvet-grey,26 990,45 990,41
Матрас Риас 140x200,https://divan.ru/product/matras-rias-140x200,22 990,40 290,42
Матрас Дейвор 120x200,https://divan.ru/product/matras-dejvor-120x200,41 990,69 990,40
Кровать Лосон 180 Velvet Grey,https://divan.ru/product/krovat-loson-180-velvet-grey,26 990,45 990,41
Матрас Данен 80x200,https://divan.ru/product/matras-danen-80x200,18 990,33 490,43
Кровать Майтон 160 Velvet Grafit,https://divan.ru/product/krovat-majton-160-velvet-grafit,24 990,43 990,43
Кровать Марелл 140 Velvet Yellow,https://divan.ru/product/krovat-marell-140-velvet-yellow,21 990,37 990,42
Кровать Марелл 160 Velvet Light,https://divan.ru/product/krovat-marell-160-velvet-light,22 990,38 990,41
Матрас Данен 200x200,https://divan.ru/product/matras-danen-200x200,34 990,68 490,48
Матрас Илами 80x200,https://divan.ru/product/matras-ilami-80x200,12 990,26 490,50
Матрас Минли 140x200,https://divan.ru/product/matras-minli-140x200,12 990,21 690,40
Кровать Лосон 140 Velvet Blue,https://divan.ru/product/krovat-loson-140-velvet-blue,23 990,42 990,44
Матрас Кайм 140x200,https://divan.ru/product/matras-kajm-140x200,29 990,53 490,43
Кровать Плиди 140 Velvet Grafit,https://divan.ru/product/krovat-plidi-140-velvet-grafit,26 990,45 990,41
Кровать Марелл 140 Happy Ocean,https://divan.ru/product/krovat-marell-140-happy-ocean,21 990,37 990,42
Кровать Лосон 160 Velvet Light,https://divan.ru/product/krovat-loson-160-velvet-light,24 990,43 990,43
Кровать Весмар 140 Velvet Beige,https://divan.ru/product/krovat-vesmar-140-velvet-beige,26 990,44 990,40
Кровать Лосон 160 Velvet Grey,https://divan.ru/product/krovat-loson-160-velvet-grey,24 990,43 990,43
Кровать Лосон 140 Velvet Grey,https://divan.ru/product/krovat-loson-140-velvet-grey,23 990,42 990,44
Кровать Лосон 180 Velvet Light,https://divan.ru/product/krovat-loson-180-velvet-light,26 990,45 990,41
Кровать Майтон 140 Velvet Emerald,https://divan.ru/product/krovat-majton-140-velvet-emerald,23 990,42 990,44
Кровать Майтон 180 Velvet Emerald,https://divan.ru/product/krovat-majton-180-velvet-emerald,26 990,45 990,41
Матрас Илами 90x200,https://divan.ru/product/matras-ilami-90x200,13 990,28 290,50
Матрас Илами 160x200,https://divan.ru/product/matras-ilami-160x200,23 990,47 990,50
Матрас Эсенс 140x200,https://divan.ru/product/matras-esens-140x200,22 990,40 290,42
Матрас Эсенс 120x200,https://divan.ru/product/matras-esens-120x200,19 990,35 290,43
Матрас Эсенс 80x200,https://divan.ru/product/matras-esens-80x200,13 990,25 290,44
Кровать Майтон 160 Velvet Grey,https://divan.ru/product/krovat-majton-160-velvet-grey,24 990,43 990,43
Матрас Илами 120x200,https://divan.ru/product/matras-ilami-120x200,17 990,36 690,50
Матрас Эсенс 90x200,https://divan.ru/product/matras-esens-90x200,15 990,28 490,43
Кровать Майтон 180 Velvet Grey,https://divan.ru/product/krovat-majton-180-velvet-grey,26 990,45 990,41
Кровать Майтон 140 Velvet Grafit,https://divan.ru/product/krovat-majton-140-velvet-grafit,23 990,42 990,44
Матрас Бовори 80x200,https://divan.ru/product/matras-bovori-80x200,7990,13 990,42
Матрас Бовори 90x200,https://divan.ru/product/matras-bovori-90x200,8990,15 490,41
Матрас Минли 120x200,https://divan.ru/product/matras-minli-120x200,11 990,20 290,40
Матрас Бовори 120x200,https://divan.ru/product/matras-bovori-120x200,11 990,20 290,40
Матрас Минли 80x200,https://divan.ru/product/matras-minli-80x200,7990,13 990,42
Матрас Бонлау 120x200,https://divan.ru/product/matras-bonlau-120x200,11 990,19 990,40
Кровать Марелл 140 Happy Grey,https://divan.ru/product/krovat-marell-140-happy-grey,21 990,37 990,42
Кровать Марелл 140 Velvet Light,https://divan.ru/product/krovat-marell-140-velvet-light-old-08-08-2022,21 990,37 990,42
Кровать Сваут 160 Textile Navy Blue,https://divan.ru/product/krovat-svaut-160-textile-navy-blue,29 990,49 990,40
Подушка для сна Эко-S 50x70,https://divan.ru/product/podushka-dlya-sna-eco-s-50x70,990,1990,50
Кровать Сваут 160 Textile Yellow,https://divan.ru/product/krovat-svaut-160-textile-yellow,29 990,51 990,42
